annual_income,total_debt,credit_score,on_time_pct,credit_utilization,history_years,delinquencies,creditworthy
1117646.78,120312.85,569,96.99,27.65,12.0,0,0
1174095.17,243616.51,712,61.8,57.61,5.8,0,0
591705.87,67525.03,581,66.13,12.85,11.3,0,1
552710.11,86086.87,561,62.28,37.38,11.4,2,0
1220517.53,303101.53,663,92.95,42.96,2.6,0,1
650318.42,239278.87,862,87.35,83.67,17.0,0,1
339282.44,74162.84,717,88.78,25.96,6.4,0,1
369544.95,64998.22,662,96.85,20.91,3.5,1,1
420133.85,36989.1,682,81.1,42.52,8.8,1,1
982933.2,355691.11,492,92.07,65.85,4.7,2,0
794489.81,55937.51,548,90.24,18.2,10.2,0,1
1103824.15,321235.63,424,78.67,35.43,8.3,0,0
564473.33,52182.46,805,90.38,48.64,13.4,0,1
802208.49,140336.17,787,91.53,26.22,8.8,0,1
1061670.57,456393.39,685,85.54,46.91,6.2,0,0
605852.65,298741.33,662,74.76,43.13,8.5,0,0
959401.7,418965.43,510,67.09,31.91,4.8,0,0
490335.16,160642.35,630,88.1,47.14,2.6,0,0
586640.63,127315.07,811,77.12,77.24,7.0,1,1
580100.86,19828.97,661,97.82,27.48,3.7,0,1
355932.44,27906.93,599,76.6,31.25,8.6,0,1
976942.9,272667.16,491,85.24,21.52,7.1,0,0
550376.9,222004.45,774,90.28,2.51,8.6,0,1
734904.97,6499.18,643,81.03,43.73,4.8,0,1
973300.35,192283.93,491,70.0,32.24,5.0,0,0
953522.89,224677.02,566,88.64,11.18,12.8,1,1
1087324.95,393916.29,535,85.23,70.61,5.8,0,0
687562.98,256367.86,638,87.44,51.6,8.6,0,1
565814.19,196028.2,668,73.04,13.16,5.7,0,1
695348.94,259994.26,604,66.55,47.08,10.4,0,0
265030.27,28596.78,719,65.68,40.5,7.6,4,0
306120.02,22999.41,657,77.51,41.5,15.5,0,0
329845.69,98895.11,745,96.16,23.28,13.4,0,1
400974.01,121212.03,617,84.05,25.6,6.7,0,1
927144.34,224275.16,900,73.18,16.32,13.7,0,1
423671.03,95990.0,599,68.03,8.74,4.6,0,0
581346.63,209091.79,568,70.98,18.75,12.7,1,0
1590464.99,332405.52,557,80.96,49.88,11.5,0,0
589035.43,105069.85,631,81.0,27.97,7.2,0,1
1135415.64,371461.0,495,85.86,53.14,14.3,1,0
416578.16,101201.45,676,59.25,36.57,1.6,1,0
644827.08,277492.8,478,78.64,17.51,2.5,0,0
412498.05,61242.11,664,47.67,39.51,13.0,0,1
595156.79,55841.4,528,67.98,29.57,7.8,2,0
1207647.59,163496.46,615,73.2,19.57,8.5,0,1
258747.44,67739.22,704,68.38,32.79,23.8,0,0
946621.1,57351.72,857,90.84,32.95,19.9,0,1
841247.65,346692.05,552,70.7,13.81,7.9,0,0
510685.91,111520.96,636,86.69,47.85,5.8,0,1
306313.78,125464.5,584,57.11,63.61,10.0,1,0
761676.88,44867.88,571,81.77,15.14,7.1,0,1
530886.95,114253.94,585,80.01,50.25,9.0,0,1
838697.8,280381.46,724,60.9,20.25,8.1,0,1
739042.93,348439.64,606,94.05,28.81,9.0,1,0
1907048.53,306515.26,852,77.19,31.13,5.9,0,1
631836.93,177336.09,687,76.29,17.31,8.8,0,1
394707.99,90388.85,559,80.06,41.85,9.6,2,0
812251.57,248870.21,616,81.99,74.47,18.4,0,1
832341.43,121713.68,577,60.8,20.58,8.6,1,0
1648724.55,606610.53,722,64.98,22.25,4.4,1,0
1203887.84,147194.34,502,86.47,35.01,6.6,0,0
903582.44,32492.38,529,77.04,26.3,13.9,0,1
1755004.07,178277.24,596,99.31,23.68,11.7,2,1
357446.92,49722.48,711,97.33,30.95,2.2,0,1
496902.49,43205.01,760,80.59,49.67,4.9,1,0
418341.95,191795.37,774,85.72,21.0,3.3,0,0
577298.14,50871.65,697,95.51,23.3,5.3,2,1
319332.55,94570.07,642,87.28,45.36,7.3,0,0
1067778.17,343979.12,721,81.12,5.14,6.9,0,1
638365.56,91222.58,546,72.97,16.13,15.8,2,1
301798.91,57772.57,483,90.8,11.43,21.4,1,1
396587.73,28734.03,689,49.63,18.86,7.6,0,0
880379.47,382544.48,559,81.99,52.5,5.2,2,0
1206067.88,123712.48,644,97.14,44.66,5.8,0,1
2417002.12,815557.08,660,74.69,40.87,11.3,0,1
4190444.95,1510787.2,672,96.08,44.48,1.8,0,0
935321.56,255898.69,734,95.16,7.32,10.3,0,1
402832.91,99570.19,724,76.29,62.14,7.2,0,1
202961.63,42558.86,667,82.25,58.42,10.0,1,0
856514.8,199681.92,610,63.96,20.43,3.3,1,0
447859.72,138825.58,659,82.27,55.44,7.8,0,1
568516.52,362937.31,596,95.93,9.83,6.2,0,0
505216.29,117449.06,632,88.45,46.2,13.1,0,1
670330.04,262624.15,885,78.02,28.53,2.3,0,1
1382754.58,466686.3,666,82.39,57.54,4.7,1,0
801491.09,176882.36,690,63.77,38.12,4.9,1,0
663191.52,12633.79,586,87.13,69.0,5.8,0,0
391839.56,59031.29,741,85.95,26.58,4.6,0,1
267049.75,30789.58,718,88.77,53.93,20.5,1,1
544822.46,122387.22,719,69.72,8.86,7.4,2,1
706254.17,49095.01,669,69.1,30.38,11.0,2,0
2106962.61,496826.18,743,69.3,30.82,19.8,0,1
788718.47,352605.71,764,71.56,25.88,9.8,0,1
1315389.93,196738.71,675,49.53,26.87,9.4,2,0
540593.37,109242.68,639,75.69,44.75,10.7,0,0
358266.98,7158.32,730,73.75,47.29,11.7,1,1
408779.0,52105.46,568,95.59,55.06,6.3,0,0
472061.41,15792.84,585,62.87,23.02,2.4,2,0
2615803.41,897814.27,645,80.52,17.78,6.1,0,1
445596.0,148291.17,493,91.8,5.05,13.6,1,0
1206330.33,102835.61,724,73.71,59.04,23.5,0,1
424320.22,82993.21,563,64.57,46.32,14.5,0,0
1275621.17,345677.33,607,90.52,15.98,9.7,0,1
918934.92,366051.89,630,90.03,15.6,12.4,2,1
663986.61,172045.64,653,66.96,53.46,9.7,0,0
711793.05,127172.91,619,59.13,30.05,2.8,1,0
492439.74,176667.69,643,68.94,32.81,4.0,0,0
953260.34,501652.93,644,77.11,36.12,15.9,0,1
555159.04,126725.08,609,87.35,49.74,7.7,0,0
349632.03,116078.94,580,67.31,28.14,8.1,0,0
338824.47,85852.18,747,98.14,13.82,6.0,0,1
808998.83,383854.48,460,83.15,24.95,8.1,0,0
1881264.57,585702.06,631,70.85,36.62,11.2,1,0
802907.64,68201.91,607,75.26,20.29,10.7,2,1
679299.23,89860.16,687,78.23,30.44,9.5,0,1
865874.87,122722.97,519,76.34,34.06,8.2,0,0
1596941.9,425897.07,605,49.71,41.12,6.4,0,0
832034.76,240405.66,640,74.13,67.32,5.1,1,0
570029.65,15366.21,746,67.36,29.37,11.3,0,1
1416604.3,315304.29,679,84.97,11.92,5.4,1,1
943407.75,83769.22,543,71.07,68.72,14.2,0,1
1832979.96,803715.39,606,73.54,12.01,8.1,3,0
814183.18,145556.58,729,67.06,50.34,11.5,4,0
349870.58,18756.5,541,64.41,28.6,11.3,3,0
320970.49,45895.03,642,89.71,45.08,9.7,2,0
1964123.72,282258.07,649,68.36,73.49,10.6,0,1
2051741.36,917990.06,615,67.55,22.89,3.7,0,0
654933.17,182129.65,892,90.72,23.2,16.9,0,1
579596.59,163753.37,612,81.82,27.41,22.1,0,1
1753048.05,188864.86,690,83.23,74.67,7.5,0,0
375409.46,96959.89,581,86.8,36.29,8.0,0,0
426413.06,132494.24,697,46.53,13.38,10.4,0,0
1073029.03,226928.64,728,94.8,30.42,7.8,0,1
575639.53,143122.44,597,93.35,25.33,8.7,1,0
727178.23,222278.48,645,90.74,13.69,7.3,0,1
661281.08,84876.32,569,78.04,67.59,4.7,0,0
893181.18,199715.21,547,74.59,50.09,9.0,0,0
1697197.84,988055.91,743,90.05,5.6,5.4,0,1
770157.98,141273.93,600,84.24,29.77,9.1,3,0
1073423.12,441226.41,432,76.3,21.8,4.2,0,0
213180.98,20630.32,808,89.87,14.75,3.0,0,1
708403.38,208688.55,577,75.84,19.96,14.8,1,0
439794.05,67671.8,627,77.16,5.15,17.8,2,0
351059.91,132387.42,797,96.1,21.46,4.1,0,1
430674.81,77481.69,637,84.32,13.14,3.1,1,1
596912.57,270402.11,635,67.7,23.65,15.4,1,0
1263683.62,600669.34,539,65.62,21.14,18.5,0,0
329115.61,113788.15,502,91.31,40.2,30.0,0,1
742946.19,65670.7,635,68.47,57.6,5.4,0,0
545521.96,252544.46,682,92.22,26.56,4.4,0,1
599227.22,109021.48,677,76.26,25.13,6.1,0,1
1331284.33,478090.42,606,52.16,60.69,1.4,0,0
1007385.85,374485.57,651,85.04,41.55,21.9,0,1
1627309.94,282274.01,484,81.54,42.81,1.1,1,0
664836.61,84131.25,691,78.36,59.23,9.9,0,1
480428.86,106767.44,664,90.69,39.43,12.5,0,1
637739.21,93512.1,827,49.61,11.62,14.1,1,1
843654.29,160544.52,650,86.84,71.74,8.6,1,0
810935.68,36403.34,565,88.36,45.02,11.9,0,0
380547.83,91152.93,645,82.96,36.89,4.9,0,1
770114.03,145903.3,620,81.12,71.3,4.7,0,1
836462.52,109800.11,689,74.38,35.74,1.8,3,0
3303471.43,405176.18,652,64.09,21.39,5.8,0,0
2249248.61,144326.43,536,63.96,11.11,4.6,0,1
437159.76,52681.43,502,93.02,24.13,5.5,0,0
613889.35,174856.28,673,75.75,20.71,7.7,0,1
303135.38,51565.48,774,69.41,43.78,15.5,0,1
511741.96,99102.62,657,52.04,50.86,10.8,1,0
881484.77,186045.98,723,70.25,9.22,4.1,0,1
1503809.59,271018.5,741,67.57,16.27,5.3,1,1
470970.01,63180.81,674,72.45,14.16,6.6,0,1
492629.25,65234.01,576,90.4,50.09,6.8,2,0
201113.88,57385.26,667,58.6,18.56,21.4,0,1
661589.43,134155.97,758,97.24,44.03,11.2,0,1
385598.27,31920.35,697,80.2,33.28,4.6,0,1
530903.92,68698.44,717,89.61,45.34,3.8,0,1
431008.69,122818.03,608,81.73,25.63,13.5,0,1
689307.31,231420.77,631,92.08,25.68,20.2,1,1
254069.46,111924.46,639,88.82,36.38,13.1,1,1
302480.73,64602.0,645,71.64,37.01,10.4,0,1
2617023.78,784812.43,755,78.73,40.55,5.8,0,1
336901.69,145369.01,438,96.28,16.73,12.9,0,0
377727.63,101557.44,652,82.82,14.83,16.7,1,1
2196000.08,460809.14,642,82.77,72.96,4.3,1,0
4168389.47,429892.81,526,80.29,56.92,2.6,1,0
361154.1,133126.05,710,62.05,52.25,8.0,0,1
584814.88,359861.33,584,78.44,12.16,8.6,0,0
895317.18,179314.17,617,96.9,47.89,24.3,0,1
2057945.24,762505.44,816,78.5,52.26,9.9,2,1
403481.43,17620.32,740,86.68,12.78,7.1,0,1
629595.79,229351.06,701,97.11,27.1,16.3,0,1
1162871.05,256607.72,684,67.79,66.13,8.3,0,0
946815.61,185943.96,635,89.7,57.2,2.7,3,0
582046.93,116416.8,829,83.41,10.16,12.4,0,1
673138.39,173537.17,722,78.34,16.68,16.7,0,1
319675.76,51424.96,582,72.61,68.12,3.5,0,0
632285.15,161591.37,523,74.41,36.77,7.5,0,0
621671.75,363980.26,701,68.76,12.79,5.6,0,0
838443.05,289636.79,644,67.4,52.67,6.7,0,0
522721.28,104091.48,521,63.1,23.92,8.2,2,0
967937.81,175615.52,688,75.69,18.87,4.0,0,1
1339262.29,407247.99,625,60.28,26.27,9.2,0,0
800712.79,246598.53,697,82.41,52.13,8.9,0,1
900813.79,151728.46,689,88.38,2.9,12.6,0,1
753054.75,191136.23,595,80.93,69.24,8.8,0,0
729453.31,297849.47,706,74.73,56.45,11.0,0,0
473101.48,70542.83,605,98.38,35.42,4.6,3,0
881955.21,397126.11,611,92.14,20.99,21.6,0,1
688057.74,173145.56,602,69.85,7.76,14.9,2,0
2560981.1,42652.72,751,78.92,9.09,7.2,0,1
1874800.74,546874.69,624,63.68,3.8,6.5,1,1
919428.84,214850.65,773,92.87,74.35,9.8,0,1
461466.93,78727.26,810,95.99,63.86,4.3,0,1
374202.78,147800.01,583,89.07,31.94,9.0,1,0
1490594.77,268764.23,387,80.42,38.8,5.4,0,0
853968.46,383384.56,744,57.31,25.7,3.1,0,0
972948.12,126546.83,619,93.95,14.76,6.2,0,1
256080.83,110040.89,572,85.37,48.67,10.6,0,0
1272460.63,572231.34,597,79.25,10.03,8.0,1,0
958047.08,399268.8,612,54.99,8.02,10.1,0,0
374647.77,61932.9,766,61.16,37.5,9.6,2,1
549676.45,92581.17,664,93.54,34.17,7.2,0,0
854464.57,49442.84,765,84.7,8.81,5.5,0,1
752743.7,274367.31,694,75.1,25.51,13.2,0,1
612128.37,134518.97,622,76.32,73.17,7.2,0,0
685502.24,132174.08,614,83.68,19.33,6.6,0,1
627070.07,141596.26,700,72.59,42.72,3.4,0,0
799336.68,84471.31,723,64.7,77.16,7.3,2,0
1763648.41,136359.33,739,78.4,26.8,1.4,0,1
200000.0,10724.82,626,85.81,2.23,15.3,0,1
632787.44,247699.31,665,53.8,28.89,9.4,0,0
810906.03,161476.24,702,61.63,16.62,15.0,0,1
871173.47,115080.67,615,92.38,70.82,9.6,1,0
583530.06,137614.68,547,80.1,57.97,6.8,0,0
254222.95,37869.47,577,76.68,79.32,14.8,0,0
888062.4,201664.4,628,87.84,53.23,5.0,0,0
2056282.15,279289.15,709,87.46,27.98,11.3,2,1
290594.22,25963.81,763,68.86,35.18,11.0,0,1
1224810.64,67616.22,527,67.01,26.74,6.6,0,0
598920.93,156526.14,596,87.54,63.01,9.2,1,0
703065.54,103937.25,617,88.68,12.7,6.5,0,1
387806.16,65051.33,721,82.73,47.0,6.5,1,1
596793.42,118858.53,602,69.12,59.58,5.3,0,1
1591244.16,303120.34,611,55.33,55.45,6.9,1,0
1034670.05,337978.22,522,88.87,41.92,7.2,0,0
2062412.48,260646.22,693,79.21,20.11,6.7,0,1
1478364.75,223534.08,635,85.83,47.11,10.2,0,1
949273.28,253703.91,591,55.35,12.45,8.0,0,0
2076845.5,132249.42,626,77.93,44.86,6.3,0,0
949220.02,351851.57,751,70.95,20.28,6.1,1,1
1198753.6,337481.39,559,95.26,10.0,11.6,1,1
610514.56,168103.22,574,73.75,13.55,9.7,1,0
759129.37,420651.03,762,84.04,10.99,1.6,1,0
480002.08,132672.5,656,92.22,17.55,10.0,0,1
1320802.89,262270.77,710,56.2,63.15,8.7,0,0
359697.19,58679.68,686,65.93,37.37,9.1,0,0
1166373.83,147623.91,646,95.72,45.92,16.0,0,1
650573.37,243710.7,618,77.8,1.2,9.2,3,0
1472906.56,328775.43,724,90.98,14.57,3.6,0,1
1144549.19,417375.16,754,80.96,26.01,12.7,0,1
2174670.45,498245.75,747,69.66,38.73,6.9,3,0
1130832.69,773062.22,543,72.32,23.82,5.8,0,0
284013.16,18513.14,767,77.48,22.65,17.8,0,1
700695.08,80006.84,617,73.77,23.81,18.2,0,1
361058.65,184814.12,582,87.44,11.5,2.1,0,0
534470.65,61564.64,634,59.92,27.02,7.5,0,0
1806202.37,339271.17,724,57.2,57.14,3.7,2,0
1069305.88,153612.46,698,69.52,64.98,16.5,2,1
479568.37,85182.85,627,77.28,27.06,17.8,0,0
397030.98,45991.98,725,98.88,11.56,26.0,0,1
743905.47,311557.31,662,90.93,20.64,12.3,0,1
351534.77,54950.26,598,98.06,16.3,10.3,0,1
487631.77,15315.34,586,79.13,19.58,9.3,0,0
879585.17,57478.45,686,97.18,40.92,4.0,2,1
1458891.15,58341.43,642,96.66,53.5,6.6,0,1
1051004.45,127621.63,526,86.48,31.75,7.3,2,0
200000.0,41713.56,726,58.17,23.23,7.7,0,1
875560.94,199818.92,606,50.81,9.78,5.7,1,0
761633.04,66190.03,793,85.84,43.5,19.6,0,1
935030.26,195795.44,523,74.88,10.65,2.0,3,0
1923632.36,567152.89,633,82.39,10.32,7.1,0,1
211516.23,45691.12,587,65.09,14.49,8.0,2,0
511620.26,184630.17,562,96.4,43.3,10.5,0,0
1039805.04,171551.23,606,83.86,17.62,1.4,0,1
282389.71,96703.0,809,72.97,26.38,13.2,0,1
1768371.15,273485.88,662,80.33,20.81,12.1,1,1
909830.84,226340.28,578,79.74,33.82,15.3,0,1
1212203.57,144381.13,485,77.56,18.99,4.2,0,0
517846.32,115464.95,495,95.8,5.02,9.5,0,0
1188566.14,125453.29,601,71.86,24.37,2.0,0,0
1384823.06,287639.27,592,91.12,37.6,4.0,0,1
838799.36,352002.78,629,63.98,28.97,2.9,0,1
839566.14,275725.59,445,63.24,66.13,7.0,0,0
857868.36,297793.63,641,88.94,33.75,6.8,0,1
434518.08,41544.87,742,97.39,23.88,6.8,0,1
667625.58,69246.96,796,91.44,33.54,9.1,0,1
665628.16,49509.9,479,91.99,38.0,3.6,0,0
918076.79,335614.42,577,87.84,11.18,2.0,0,0
1328943.13,103721.67,573,67.64,40.53,1.0,0,0
386496.6,20859.15,663,84.11,6.33,4.6,0,1
676707.62,158907.93,540,82.33,73.73,7.2,0,0
1774223.34,675787.91,801,93.33,5.75,5.5,0,1
466889.11,52413.1,653,69.95,10.1,8.0,0,1
445365.24,80142.67,638,91.41,36.79,19.5,0,1
823553.44,385508.75,793,79.16,16.17,7.1,0,1
1210605.39,201302.04,648,49.8,4.49,9.4,2,0
734434.16,173631.02,686,80.05,53.91,8.3,1,0
1619092.48,418299.64,582,67.54,37.4,14.0,0,0
1219652.32,25309.77,526,86.32,49.92,7.2,0,0
1208743.61,198674.21,595,82.91,5.95,3.1,0,1
1017103.97,67966.85,846,87.4,23.74,4.0,0,1
2947865.36,533907.76,706,72.6,17.09,14.2,0,1
644933.82,145015.32,674,61.44,65.58,5.7,2,0
219232.18,62917.11,562,87.46,23.11,4.2,0,0
1909883.14,781667.06,732,95.38,12.31,7.8,0,1
554255.11,121664.44,527,96.13,36.87,13.6,1,0
778191.77,173806.26,508,93.82,5.17,6.6,0,1
1600346.0,561237.43,599,49.89,24.41,9.0,2,0
278909.96,122418.93,825,84.85,19.68,24.1,0,1
344211.53,170805.46,820,89.78,9.46,14.4,0,1
279074.27,25092.49,609,76.39,34.77,9.1,1,0
452941.49,69320.66,589,95.31,4.31,7.3,1,1
949586.56,193885.1,502,89.23,24.96,16.4,0,1
999002.65,176709.93,657,76.91,44.35,28.9,1,1
860926.58,129954.17,664,94.88,38.5,17.7,1,1
312493.98,21197.25,721,87.4,25.79,9.0,0,1
200000.0,44102.71,731,73.4,82.04,4.7,1,0
753596.34,140222.53,632,87.16,28.92,4.2,1,1
549593.6,160918.36,700,81.75,12.97,13.4,0,1
960905.61,367598.13,586,87.05,29.0,4.7,1,0
1111445.72,227118.53,698,94.21,42.43,6.0,1,1
792497.68,338653.73,604,81.14,48.02,8.0,0,1
1150928.83,306279.83,691,83.96,35.36,4.2,0,1
836956.04,194803.56,684,87.25,29.25,4.5,1,1
1002531.46,275967.68,656,79.83,56.52,3.4,0,0
477918.76,125225.66,721,85.41,22.59,10.8,0,1
654896.94,46703.75,508,87.27,25.25,10.1,0,1
820825.37,309187.14,554,56.7,32.7,11.9,0,0
1193400.18,529558.71,625,87.53,24.99,17.0,0,0
575938.0,163050.44,520,72.05,37.22,4.5,0,0
997193.74,133744.08,613,95.49,24.12,2.9,0,1
621876.45,58398.09,616,97.15,17.88,6.8,0,1
679746.15,189855.78,767,94.13,50.64,9.1,1,1
1199855.18,236821.23,662,91.24,12.56,1.1,1,1
220612.66,57487.66,742,66.18,42.98,15.2,0,1
335077.32,19089.81,677,81.45,44.37,7.4,0,1
299745.41,57092.99,601,72.35,25.8,15.8,0,0
200000.0,32612.05,662,96.69,18.76,7.8,3,1
485551.84,48746.89,715,68.57,56.57,1.3,0,0
1143564.09,117048.42,757,78.29,50.29,8.5,0,1
614810.62,167608.24,638,91.6,60.0,7.8,2,0
821324.9,150729.79,501,81.34,5.34,2.2,0,0
1402168.46,404468.29,495,81.39,16.13,25.4,0,1
1617854.88,773880.18,620,78.9,5.02,16.6,1,0
699777.17,264106.92,439,74.6,39.4,14.2,0,0
1643192.47,407527.15,811,73.21,40.81,23.9,0,1
770870.75,309525.57,703,86.25,30.82,3.9,0,1
441335.69,106752.74,592,76.54,43.14,9.6,0,1
510609.19,50305.15,550,80.3,38.45,10.2,0,0
300042.1,10498.77,742,76.32,9.46,17.7,0,1
428103.25,100277.6,549,92.32,34.26,3.7,0,1
588416.31,23249.38,558,78.43,43.56,7.8,0,1
1181329.45,248308.15,581,52.94,16.34,13.8,0,0
2048179.48,506965.07,660,77.04,41.89,18.1,0,0
318281.37,17916.15,705,53.09,42.15,5.1,0,1
923287.99,98887.43,757,94.98,16.8,11.1,0,1
390691.54,135877.01,744,67.72,27.56,9.2,0,1
969773.92,161377.75,650,96.94,24.78,5.9,1,1
674244.45,131537.91,741,76.26,27.43,3.8,0,1
243155.52,18355.21,589,76.96,80.39,16.0,1,0
1273116.25,593865.02,486,78.31,41.29,16.7,2,0
507371.91,98132.54,589,93.85,37.2,13.6,0,1
529484.86,40550.39,577,89.45,30.42,5.6,1,1
383904.29,81360.38,593,71.63,21.32,8.1,0,0
492588.8,196596.16,563,78.51,33.66,13.1,0,0
942917.68,348333.27,608,89.01,8.39,5.6,0,1
651122.71,180533.92,705,88.9,7.65,2.7,0,1
888417.62,243803.04,804,85.17,59.45,13.1,0,1
906324.88,276652.47,494,76.55,26.34,4.0,0,0
1611050.48,476532.79,534,61.98,38.14,12.1,0,0
593818.09,283740.19,578,80.56,57.16,2.4,0,1
300705.09,120083.35,718,61.27,5.95,9.7,0,1
1383785.54,69343.64,631,89.5,21.66,25.9,0,1
597857.13,29424.05,584,72.89,17.12,17.0,0,0
1423679.77,288883.81,714,92.95,47.89,10.0,0,1
918067.57,32528.37,736,65.95,33.59,15.2,0,1
674223.87,268510.9,648,97.2,66.98,5.6,0,0
899204.3,174226.91,576,93.67,10.25,9.7,0,1
2351602.42,285670.64,674,82.85,31.74,1.5,0,0
2536227.55,174052.97,629,57.54,41.52,13.5,0,0
760421.89,35451.18,628,85.99,53.8,13.0,0,1
803003.5,165048.39,603,68.85,52.13,14.5,1,0
1391293.01,471599.16,733,84.88,38.55,11.0,0,1
439153.1,66485.44,672,73.83,45.95,20.1,0,0
890770.61,148881.97,743,89.35,36.81,12.5,0,1
718184.87,297890.11,770,74.39,18.89,6.4,1,1
880587.81,204789.0,691,61.12,24.0,12.5,0,0
442403.98,208177.67,604,70.23,20.98,11.9,1,0
281042.03,11012.33,743,77.67,9.28,5.9,1,1
210283.09,104074.77,691,80.25,19.63,11.2,0,1
373087.98,105960.97,884,82.1,37.01,4.5,0,1
553930.68,51664.15,677,92.33,44.94,5.2,0,1
611753.71,180014.88,712,86.05,15.56,6.0,1,0
2332237.58,168907.75,676,89.39,58.14,12.1,0,1
1416353.29,594552.47,641,86.53,26.17,2.6,0,1
409521.76,117940.91,626,81.26,16.58,29.1,0,1
898628.57,216658.95,676,69.45,25.54,24.5,0,1
571347.6,167231.1,696,55.22,46.44,6.5,1,0
615002.55,235653.59,753,79.95,14.53,8.3,2,1
815205.4,329913.96,677,75.04,19.53,11.0,0,1
1057589.34,432011.41,608,90.04,19.26,5.3,0,0
595076.3,95918.71,620,73.51,29.37,7.4,2,0
1380989.62,96490.54,530,93.42,20.27,12.5,0,0
367631.76,27245.72,799,77.46,56.37,10.1,0,1
732195.94,181922.26,601,98.02,19.31,2.9,0,1
3466320.57,1575339.44,737,53.26,19.25,15.2,0,0
833882.55,129252.79,674,79.47,20.68,23.9,0,1
1723605.2,158675.88,677,76.33,4.89,13.7,0,1
770590.29,52459.57,639,83.64,17.17,6.1,0,1
1033504.75,281928.19,579,78.91,33.72,6.1,0,1
704983.79,45449.16,562,97.63,26.77,6.3,1,0
658523.48,122183.18,805,86.25,31.42,12.3,1,1
456941.46,82134.31,660,84.78,10.28,11.3,0,1
944282.65,115613.08,751,66.76,53.03,12.3,1,1
437607.51,99850.4,774,61.59,3.85,11.7,0,1
1087455.52,435538.07,613,87.1,43.31,30.0,0,1
1398865.63,372774.55,688,97.86,75.65,13.8,0,1
908835.01,77708.36,654,88.1,21.55,2.4,0,1
